Knee Y,Hip Y
59,35
59,35
59,35
59,34
60,35
61,35
61,36
62,36
61,36
61,36
61,36
61,36
60,35
60,35
60,35
60,35
60,35
61,35
61,35
61,34
60,34
60,34
60,34
60,34
59,34
58,34
58,34
59,34
59,34
57,33
58,33
58,33
57,33
57,33
58,34
56,34
57,34
56,34
56,34
57,34
57,33
57,32
57,33
60,35
60,38
61,37
56,32
58,32
58,32
56,31
58,31
58,31
58,31
58,32
59,32
59,32
58,32
58,32
57,32
57,32
57,32
57,32
57,32
57,32
57,32
57,32
57,32
57,32
57,32
56,32
56,31
56,31
56,32
56,32
56,31
56,31
56,31
56,31
57,33
59,34
58,35
58,36
58,35
54,32
59,58
57,57
62,59
63,37
63,36
62,36
62,36
62,36
62,35
62,35
61,34
61,34
61,35
61,34
60,34
60,34
60,34
60,34
61,34
61,34
62,34
62,34
62,34
62,34
62,34
62,34
62,34
62,34
62,34
62,34
62,34
62,34
62,34
62,34
62,34
62,34
62,34
62,34
61,34
61,34
61,34
63,36
63,36
63,36
62,36
62,36
62,36
60,35
60,35
58,33
59,32
60,33
60,33
60,33
60,33
60,33
60,33
60,34
60,34
59,34
60,34
59,34
58,34
58,34
58,34
57,33
57,33
67,42
68,45
70,47
73,48
74,51
73,52
73,54
72,55
72,56
72,56
73,58
73,59
73,60
73,60
73,61
73,61
73,61
73,62
74,62
74,62
74,62
74,63
75,63
74,63
74,64
74,64
75,65
75,65
75,65
75,65
75,65
74,65
74,65
73,65
73,65
73,65
73,66
74,66
73,66
73,66
73,66
73,66
72,66
72,66
73,66
73,66
73,66
73,65
73,65
72,64
72,63
72,63
72,63
71,62
71,61
71,60
71,59
70,57
71,56
70,54
70,53
70,51
69,49
69,47
70,46
69,45
69,44
69,44
67,40
65,37
64,36
63,36
64,40
68,43
69,44
69,45
70,47
70,49
70,51
71,53
72,55
71,56
71,57
71,58
71,59
72,62
72,63
72,63
72,64
72,64
72,65
73,66
72,66
72,67
73,67
73,67
73,66
73,66
73,66
72,66
72,66
72,66
72,66
72,66
72,66
72,67
72,67
72,67
72,66
72,65
72,64
72,63
72,62
70,59
70,58
70,57
70,56
71,55
70,54
71,53
71,52
71,50
70,48
71,47
71,46
70,45
70,44
69,44
66,40
64,39
62,38
63,37
64,36
64,37
64,38
66,40
66,39
63,37
63,37
62,34
71,47
71,50
71,51
71,53
71,54
71,54
71,56
72,57
72,58
73,59
73,59
73,61
72,61
73,63
72,64
71,64
71,65
72,66
72,66
71,66
71,66
72,67
72,66
71,66
71,66
71,66
71,65
71,65
71,65
71,65
71,65
72,64
71,64
70,62
69,61
69,58
70,57
70,55
70,52
70,49
70,48
70,46
70,45
70,45
68,41
65,37
65,42
66,42
66,43
62,40
66,42
68,44
69,45
71,48
70,48
71,50
72,50
72,51
72,51
71,52
71,53
72,54
72,54
72,54
72,55
72,56
72,56
72,57
72,58
71,59
72,61
72,61
72,61
73,62
73,62
72,62
72,63
72,63
72,63
72,64
72,65
72,64
71,64
71,64
71,64
71,64
71,64
71,64
70,64
70,64
70,64
70,64
70,63
70,62
69,60
69,59
68,57
68,57
68,55
68,53
68,51
68,50
69,48
69,47
69,46
69,45
69,44
66,41
65,41
63,36
63,40
64,42
64,41
62,40
63,41
64,42
45,33
64,42
68,45
68,46
70,48
70,51
72,52
72,53
70,54
72,56
72,58
71,58
71,59
70,60
71,61
72,62
72,62
71,62
71,63
70,63
71,63
71,64
72,64
71,64
71,64
72,64
72,65
72,64
72,64
72,64
71,64
69,62
69,60
69,58
69,55
69,53
69,51
69,48
69,47
69,45
67,42
67,41
64,39
62,38
63,42
66,47
66,46
63,41
64,42
64,41
63,37
68,46
65,39
68,45
70,49
71,52
71,54
72,55
72,56
72,57
73,59
73,60
73,61
74,62
73,62
73,63
72,64
72,64
76,64
75,65
76,65
74,66
74,66
74,66
73,65
74,66
73,66
73,66
72,66
72,65
72,65
72,65
72,66
72,66
72,67
72,67
72,67
72,67
72,67
73,67
74,67
74,67
74,67
74,67
73,67
72,68
72,68
72,68
72,68
72,68
72,69
72,69
72,68
72,68
72,67
72,66
72,66
72,65
73,64
73,64
73,64
73,64
72,64
72,64
72,64
72,64
72,63
72,63
72,63
72,62
72,62
71,62
73,62
72,62
72,62
73,62
73,62
71,60
71,59
70,56
71,55
71,52
71,50
71,48
71,47
71,47
71,45
68,42
67,41
65,38
63,37
65,41
64,42
71,47
70,47
71,50
70,52
71,54
70,55
71,58
72,60
73,61
73,62
73,64
73,65
73,65
73,66
72,66
72,67
72,67
73,67
73,68
73,67
73,67
74,67
74,67
74,67
74,67
73,67
73,67
73,68
73,68
74,67
74,67
74,67
74,67
74,68
74,68
74,68
74,68
74,68
74,67
73,66
72,66
72,65
72,63
71,61
70,59
70,57
70,54
70,52
71,50
70,48
70,47
67,43
65,41
65,40
63,38
62,36
63,38
62,39
62,36
61,36
62,36
63,36
62,37
62,37
61,37
61,37
61,37
61,37
61,37
61,37
61,37
61,37
61,37
61,37
61,37
61,37
61,37
61,37
61,37
61,36
61,36
61,36
61,36
61,36
60,36
60,35
60,37
60,37
59,36
60,36
61,36
62,36
62,36
62,36
62,36
63,37
62,37
62,38
63,39
64,40
65,41
66,43
66,46
66,47
65,48
65,50
65,51
65,52
65,54
65,56
65,57
66,58
67,59
68,60
68,61
68,62
69,63
69,64
69,65
69,65
69,66
70,66
70,66
69,66
69,67
69,67
68,67
68,67
68,67
68,67
69,67
69,66
69,64
69,62
69,59
69,58
68,56
68,53
68,50
68,49
68,47
68,45
68,44
66,42
64,39
62,38
63,37
63,40
63,40
64,40
64,41
65,42
66,44
66,45
66,46
66,47
67,49
66,50
67,52
67,55
67,57
67,60
68,60
68,61
68,61
68,62
68,63
68,63
68,64
69,64
69,64
69,65
69,64
69,64
69,64
70,64
70,64
69,64
69,65
69,65
69,66
69,66
70,67
70,67
70,68
70,68
70,68
70,68
70,68
70,67
70,67
70,65
69,63
69,61
68,59
68,56
68,54
68,52
68,51
69,50
69,48
69,46
69,45
68,43
67,43
66,41
65,39
61,35
63,39
64,41
61,37
61,36
62,38
63,42
65,43
65,44
64,43
64,42
64,41
63,40
65,44
59,37
65,43
65,43
66,43
65,42
65,41
63,39
64,40
64,41
66,45
65,45
61,36
61,36
62,36
62,36
62,36
61,36
61,36
61,36
61,36
61,36
61,36
61,36
62,36
62,36
61,36
60,36
60,36
62,36
63,38
64,39
63,39
63,40
64,41
64,42
65,42
66,44
66,45
66,47
66,48
66,50
66,52
63,52
63,53
67,56
67,57
68,59
69,60
71,62
70,63
69,64
70,64
70,64
70,65
70,65
70,65
70,66
70,66
71,66
71,66
70,66
70,66
70,66
70,66
70,65
70,64
69,63
68,59
67,58
67,56
67,54
67,53
67,53
69,51
69,51
69,48
68,46
68,45
68,43
68,44
67,42
63,38
64,38
63,38
62,37
61,37
61,37
62,38
60,36
60,35
59,35
59,35
60,36
60,36
63,37
63,38
63,38
63,39
64,39
64,39
63,38
62,37
62,37
61,36
61,35
61,35
61,35
61,35
59,34
59,34
59,34
59,34
58,34
59,35
58,35
58,34
58,34
58,35
58,35
58,35
58,35
58,35
58,35
58,35
58,34
58,34
58,34
59,34
59,34
59,34
61,35
61,35
61,35
60,35
61,35
61,35
61,35
61,35
61,35
60,34
60,34
60,34
60,34
60,34
59,34
59,34
59,33
59,34
59,34
59,34
59,34
59,34
58,34
57,34
58,34
59,34
58,34
58,33
58,33
58,33
58,33
58,34
58,34
58,34
59,34
59,34
59,34
59,34
59,34
59,34
59,34
59,35
59,35
59,35
60,36
60,37
60,36
60,36
60,36
60,36
60,37
60,37
60,37
60,37
60,37
60,37
60,37
60,37
59,37
59,36
59,36
59,36
59,37
60,37
60,37
60,37
60,37
61,38
60,38
60,38
60,38
60,38
60,38
60,38
60,38
60,38
60,38
60,38
60,38
61,38
61,38
61,38
61,38
63,39
65,41
65,41
64,41
64,42
64,43
66,45
67,47
69,49
68,49
68,50
67,53
65,53
67,55
67,57
67,58
68,61
69,62
69,64
69,64
69,64
69,65
69,65
69,65
69,65
69,65
69,65
69,64
69,63
68,60
67,58
67,56
67,53
67,51
68,49
68,47
68,44
66,41
66,41
66,40
64,38
62,36
69,51
62,44
67,44
60,58
62,38
62,37
62,37
62,36
62,36
61,36
61,36
62,36
62,36
62,36
62,36
62,36
62,36
62,36
62,36
62,36
62,36
61,36
61,36
61,36
61,37
63,39
64,40
64,43
65,45
66,48
66,50
66,49
66,52
67,54
68,57
68,60
68,61
70,63
70,64
71,65
71,65
70,66
70,65
70,65
70,65
70,65
69,65
69,64
70,64
70,64
70,63
70,62
69,61
69,59
68,56
68,54
68,53
68,51
68,49
68,48
68,45
67,44
67,43
65,41
64,39
61,38
62,39
60,36
62,37
61,36
61,36
61,36
61,35
61,35
61,35
61,35
61,35
61,35
60,35
60,35
60,34
60,34
60,34
60,34
60,34
60,34
60,34
60,34
60,34
60,34
59,34
59,34
59,34
59,34
59,34
59,34
59,34
60,34
60,34
